Description;Total;Male;Female;;;;;;;
0 to 4 years;1898790;973030;925760;;;;;;;
5 to 9 years;2018130;1034685;983445;;;;;;;
10 to 14 years;1922645;985200;937445;;;;;;;
15 to 19 years;2026160;1039215;986940;;;;;;;
20 to 24 years;2242690;1144495;1098200;;;;;;;
25 to 29 years;2285990;1144470;1141515;;;;;;;
30 to 34 years;2329395;1148290;1181110;;;;;;;
35 to 39 years;2288365;1118635;1169730;;;;;;;
40 to 44 years;2255135;1104440;1150695;;;;;;;
45 to 49 years;2359965;1157760;1202210;;;;;;;
50 to 54 years;2678075;1318755;1359320;;;;;;;
55 to 59 years;2620240;1285190;1335055;;;;;;;
60 to 64 years;2290510;1114885;1175630;;;;;;;
65 to 69 years;1972480;953075;1019405;;;;;;;
70 to 74 years;1420875;677975;742900;;;;;;;
75 to 79 years;1021850;469550;552300;;;;;;;
80 to 84 years;749650;325765;423880;;;;;;;
85 years and over;770780;268790;501990;;;;;;;
85 to 89 years;482525;185535;296990;;;;;;;
90 to 94 years;223510;68675;154835;;;;;;;
95 to 99 years;56525;13240;43280;;;;;;;
100 years and over;8230;1340;6890;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Description;Total;Male;Female;;;;;;;
0 to 14 years;16.6;17.3;15.9;;;;;;;
15 to 64 years;66.5;67.1;66;;;;;;;
65 years and over;16.9;15.6;18.1;;;;;;;
85 years and over;2.2;1.6;2.8;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Description;Total;Male;Female;;;;;;;
Management occupations;2013370;1251165;762205;;;;;;;
Business, finance and administration occupations;2874305;862870;2011440;;;;;;;
Natural and applied sciences and related occupations;1273660;990560;283105;;;;;;;
Health occupations;1245885;244730;1001155;;;;;;;
Occupations in education, law and social, community and government services;2138445;672945;1465495;;;;;;;
Occupations in art, culture, recreation and sport;557275;255705;301570;;;;;;;
Sales and service occupations;4265895;1843510;2422390;;;;;;;
Trades, transport and equipment operators and related occupations;2668875;2504290;164585;;;;;;;
Natural resources, agriculture and related production occupations;416135;331920;84215;;;;;;;
Occupations in manufacturing and utilities;814285;576435;237845;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
All occupations;18268120;9534120;8734005;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Description;Total;;;;;;;;;
Management;11.02;;;;;;;;;
Business;15.73;;;;;;;;;
Applied science;6.97;;;;;;;;;
Health;6.82;;;;;;;;;
Education, law, social;11.71;;;;;;;;;
Art, culture;3.05;;;;;;;;;
Sales, services;23.35;;;;;;;;;
Trades;14.61;;;;;;;;;
Agriculture;2.28;;;;;;;;;
Manufacture;4.46;;;;;;;;;
;;;;;;;;;;
Description;Total;;;;;;;;;
Median Income 2016 FT workers;34204;;;;;;;;;
Median Income 2021 FT workers;40500;;;;;;;;;
Average Income 2016;47487;;;;;;;;;
Average Income 2021;54630;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Province;Category;Total;Male;Female;;;;;;
Newfoundland and Labrador;Latin American;635;305;330;;;;;;
Newfoundland and Labrador;Latin, Central and South American origins;925;410;520;;;;;;
Prince Edward Island;Latin American;255;140;115;;;;;;
Prince Edward Island;Latin, Central and South American origins;420;215;205;;;;;;
Nova Scotia;Latin American;1685;820;865;;;;;;
Nova Scotia;Latin, Central and South American origins;3055;1525;1525;;;;;;
New Brunswick;Latin American;1285;650;635;;;;;;
New Brunswick;Latin, Central and South American origins;2135;1110;1025;;;;;;
Quebec;Latin American;133920;64655;69260;;;;;;
Quebec;Latin, Central and South American origins;167275;81215;86065;;;;;;
Ontario;Latin American;195950;93645;102310;;;;;;
Ontario;Latin, Central and South American origins;322210;153045;169165;;;;;;
Manitoba;Latin American;9895;4840;5050;;;;;;
Manitoba;Latin, Central and South American origins;23115;11555;11565;;;;;;
Saskatchewan;Latin American;4195;2095;2095;;;;;;
Saskatchewan;Latin, Central and South American origins;6695;3295;3400;;;;;;
Alberta;Latin American;55090;27560;27525;;;;;;
Alberta;Latin, Central and South American origins;78405;39030;39375;;;;;;
British Columbia;Latin American;44115;20600;23515;;;;;;
British Columbia;Latin, Central and South American origins;69920;33580;36335;;;;;;
Yukon;Latin American;130;75;60;;;;;;
Yukon;Latin, Central and South American origins;215;110;105;;;;;;
Northwest Territories;Latin American;135;55;80;;;;;;
Northwest Territories;Latin, Central and South American origins;205;90;110;;;;;;
Nunavut;Latin American;40;20;20;;;;;;
Nunavut;Latin, Central and South American origins;65;30;35;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Canada;4;5.1;20000;1;Latin American;1329;;447325;215460;231860
Canada;4;5.1;20000;1;Latin, Central and South American origins;1448;;674640;325210;349430
;;;;;;;;;;
;;;;;;;;;;
Diabetes;Percentage;Count;;;;;;;;
20 to 79 years;8.7;2,257,500;;;;;;;;
20 to 39 years;1.3;119,600;;;;;;;;
40 to 59 years;9.7;933,400;;;;;;;;
60 to 79 years;17.7;1,204,400;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Description;Percentage;;;;;;;;;
Are healthier than mainstream products;38;;;;;;;;;
Are better for the environmen than mainstream products;33;;;;;;;;;
Are safer than mainstream products;25;;;;;;;;;
Are worth paying more for;22;;;;;;;;;
Are fresher than mainstream products;20;;;;;;;;;
Taste better than mainstream products;19;;;;;;;;;
Are a gimmick;18;;;;;;;;;
Are not different than mainstream products;18;;;;;;;;;
